Gene	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
C11orf80	531.849	393.772	2192.71	162.585	91.4854	158.515	138.989	136.962	92.0347	149.347	100.49	141.009	85.6724	99.3344	34.4887	88.3406	103.765	141.865	147.602	142.9	157.069	101.659
C1orf54	41.7108	44.3095	113.097	244.03	292.562	288.264	109.841	87.1984	51.3178	125.682	162.659	73.1089	395.023	1418	1157.75	2036.48	4773.9	1134.91	277.276	305.211	422.549	49.3094
C3AR1	131.1	97.683	235.873	218.067	100.573	198.343	109.086	110.397	521.296	667.739	753.718	473.171	1337.37	799.645	4247.95	2754.46	879.088	259.278	4587.55	4865.33	9437.29	746.045
C5AR1	92.3923	64.8837	25.3747	71.2981	39.1758	24.5742	23.7999	27.3608	42.3142	422.403	335.175	170.959	4237.56	4990	262.804	1920.67	1195.95	889.958	536.889	756.901	2647.73	12587.2
C5AR2	8.03205	16.6674	15.1059	5.51263	50.3667	6.81844	16.3458	8.18236	46.5934	21.2391	35.455	28.8741	56.8437	41.5458	16.6959	59.0537	24.6139	18.8477	3.57063	40.8696	286.016	383.274
CA8	17.9962	18.5439	16.8672	13.3172	19.5397	16.4218	15.3265	200.624	43.5401	62.3202	14.157	14.4685	14.0091	12.522	31.469	13.2502	11.5131	32.217	72.2169	144.632	15.5076	25.5913
CAMP	32.2498	29.6651	52.1274	76.1451	148.566	101.74	32.6324	121.34	33.0928	40.1862	1655.27	130.334	126.179	187.357	81.6565	105.44	94.8232	41.5286	223.234	175.154	529.456	1507.37
CASP5	16.2288	25.4112	7.48907	20.7219	11.6232	9.07351	7.44133	44.6726	117.851	13.7859	35.1619	57.1513	120.177	50.414	518.076	31.7304	21.4306	52.5225	9.1294	70.3713	59.1973	483.505
CCDC102B	7.52423	6.16562	6.18462	17.72	9.25105	13.3104	1.76176	6.13376	5.82426	17.0872	21.3121	3.26143	5.67486	207.123	1.53837	2.55642	146.683	8.57163	36.9436	6.50272	30.7604	6.41653
CCL1	9.15145	10.4182	10.0572	10.7845	22.584	9.66943	15.9703	12.6165	9.10471	11.2496	11.5334	29.6055	11.1233	12.3097	13.3928	10.2072	10.5037	366.166	7.25932	1266.59	9.88465	9.40769
CCL13	195.351	171.43	101.36	120.948	41.6598	118.403	66.0458	12.7071	75.5113	72.3377	95.0205	96.6664	87.0877	166.932	182.284	6581.43	3717.5	5513.79	101.027	675.87	121.977	105.316
CCL14	70.0172	58.9192	153.552	71.0645	31.2109	91.7696	77.6091	33.0879	152.042	152.988	67.5446	72.9949	105.07	166.02	1233.17	2459.1	283.012	172.673	98.3015	149.323	119.006	248.318
CCL17	42.2162	58.9959	82.1462	78.5043	19.4836	30.3048	170.338	38.0338	393.926	59.7716	75.0118	38.7717	67.7605	114.842	55.4116	620.213	2541.41	6414.91	26.6174	45.9517	91.9287	34.2859
CCL18	19.9388	21.6882	56.6092	35.3176	24.3512	12.8258	81.2024	31.2767	20.5683	109.495	39.1384	79.5132	40.6813	2820.02	1252.53	12334.4	1697.96	1749.79	423.11	930.782	47.8195	49.5288
CCL19	78.5216	139.744	258.102	77.623	36.8714	60.9292	89.7783	48.9856	34.9934	21.1785	109.923	146.46	115.553	114.367	32553.9	137.074	170.847	3048.87	38.0487	19.1524	152.801	117.264
CCL20	39.5088	26.9925	13.7168	61.5411	13.082	29.4014	1562.14	188.676	12.3693	18.1303	18.4352	20.3182	18.8511	11.3105	724.615	12.805	14.5209	1509.78	13.9653	5473.44	31.129	22.4447
CCL22	46.0713	31.3251	19.8475	24.0353	39.4296	27.8785	28.1703	24.3331	560.184	23.0223	26.9168	76.9656	33.1173	2604.47	464.973	880.202	4123.09	30950.3	24.5231	113.921	94.5215	59.9268
CCL23	19.7435	16.5925	53.413	15.3184	19.6982	27.6569	5.97155	13.4413	70.6599	22.991	64.6157	43.8821	37.9861	244.479	615.574	5505.22	321.781	377.54	662.699	545.135	534.198	58.6897
CCL4	1661.46	817.482	307.807	2564.29	270.872	442.476	11191.4	356.473	481.279	8310.15	11202.8	38944	3000.89	1968.54	11885.1	3139.01	2072.16	4282.93	1133.5	35339.7	6568.92	2680.05
CCL5	19.5685	88.2396	30.3254	11434.9	189.493	3143.97	1850.01	69.7584	171.001	19080.9	17238.7	11744.5	102.843	100.234	16862.2	250.75	59.2935	6507.21	46.1915	660.091	300.438	133.363
CCL7	80.5492	45.9484	58.1086	54.2972	48.2436	38.5056	22.9584	53.3494	55.4673	74.5045	33.5399	21.3284	36.2065	651.365	241.065	85.7472	24.2435	72.9524	137.744	956.436	108.069	97.3368
CCL8	229.338	97.0294	105.738	35.0542	31.4258	64.2239	82.9878	40.6441	77.9002	105.87	49.6186	49.0471	126.767	152.319	4535.52	2829.09	85.4398	1523.49	59.5208	1333.11	24.1931	94.6098
CCND2	299.043	447.615	677.714	682.209	363.697	1162.57	2369.16	460.631	1118.95	330.799	1065.42	6016.73	196.776	378.811	81.4305	108.19	428.171	308.394	337.101	466.685	449.445	314.07
CCR10	52.9887	92.3155	773.818	130.744	64.3025	282.922	67.6002	100.732	54.4414	50.764	81.8189	50.0594	68.9076	63.1279	57.584	73.7311	54.7931	76.2382	50.8701	73.1144	139.358	97.538
CCR2	420.037	360.022	1710.33	312.62	64.9467	756.552	297.145	95.4769	258.898	1151.15	92.1191	97.0054	2908.73	122.771	80.9645	74.5212	115.753	117.14	115.012	63.8285	213.986	243.229
CCR3	135.022	31.1453	52.4803	51.2154	12.0781	88.5821	53.99	20.4848	260.968	37.4963	128.201	81.0785	83.4013	79.2518	59.8893	39.0928	83.6925	66.1017	33.1788	72.4338	6575.5	1435.21
CCR5	98.7636	93.0095	46.8193	992.044	75.4039	462.152	423.397	530.486	503.017	2444.18	578.483	1425.77	489.988	2191.94	1493.35	787.3	1515.6	624.566	149.375	260.554	130.09	85.8615
CCR6	327.499	331.084	40.6441	173.09	69.0404	486.344	155.672	151.091	101.985	262.858	46.4384	122.942	29.5904	17.9736	25.589	29.9201	30.03	42.1897	27.6185	31.6993	34.98	45.6338
CCR7	3811.33	1939.05	202.926	5074.2	8788.6	2693.56	2885.12	1858.53	6339.95	490.805	672.467	482.443	165.235	328.195	17366.9	123.746	290.53	14223.2	66.659	81.2458	647.964	376.156
CD160	446.129	281.825	129.564	1145.35	114.968	125.324	159.179	73.6563	249.12	3283.21	2499.53	688.496	93.8563	89.4107	67.9995	36.9511	71.9584	78.8627	64.1012	95.5795	170.013	231.942
CD180	1502.17	2247.89	1123.32	78.7796	23.1549	37.9632	83.1006	48.8616	179.216	131.403	37.0495	30.9494	576.447	201.364	120.08	2787.64	108.51	93.2677	64.1551	52.7431	108.188	110.541
CD19	7315.69	5295.94	1743.47	132.242	128.204	55.6136	93.4259	148.856	217.548	147.793	90.4861	98.4019	164.903	98.8389	106.445	146.624	122.998	161.334	121.141	130.64	393.166	257.896
CD1A	1294.17	818.783	504.004	208.395	135.372	191.405	139.717	156.482	511.824	265.3	152.536	145.925	312.023	224.986	160.945	156.939	14772.2	1315.23	110.817	174.712	260.606	419.794
CD1B	1351.16	338.331	343.69	55.6776	22.2865	192.553	45.504	21.5309	52.9411	252.417	152.905	109.576	198.282	165.954	76.0826	132.219	15969.5	2349.6	124.04	158.889	118.103	356.884
CD1C	1349.23	2899.13	31.2974	44.1419	77.2347	204.51	33.5802	40.9239	16.851	50.8817	36.3232	30.678	526.834	29.8512	22.8597	167.503	9523.26	1002.72	32.8512	34.9283	24.6375	258.213
CD1D	243.575	416.303	201.532	16.9227	30.1976	10.7908	6.35703	48.6171	52.4235	288.635	16.2496	17.3778	2785.25	49.3553	373.059	39.5088	90.8298	51.3108	69.9761	23.9217	51.5415	136.922
CD1E	53.2515	49.9627	49.2725	52.563	80.7354	55.8777	33.1141	61.9871	75.8264	32.8657	53.7108	34.0771	91.1062	48.5703	40.4788	112.605	8828.21	1421.61	49.9548	51.7658	49.6398	41.448
CD2	419.435	409.582	377.872	8182.95	8002.72	9578.94	7866.43	14057.4	11226.7	5897.39	6247.91	3097.47	222.358	149.915	112.605	188.195	187.612	146.969	332.624	138.589	614.912	576.827
CD209	68.8116	26.7303	23.3735	21.609	99.594	16.5337	21.6059	24.1445	154.815	116.694	42.605	31.8695	84.1738	315.218	190.945	2758.3	2461.15	228.387	66.978	173.32	91.616	130.884
CD22	3293.63	1803.15	19.0349	37.4705	53.382	54.3744	40.6977	45.4123	127.574	80.6119	41.9423	32.5204	31.1523	153.702	62.3613	221.735	154.818	36.801	287.729	205.917	104.764	72.3216
CD244	59.709	38.5118	28.8318	623.695	174.439	69.1101	23.2551	123.377	85.1808	1115.51	1823.54	1702.77	828.43	22.3243	46.7587	96.2814	23.8508	18.3872	105.299	38.3377	2465.48	51.8651
CD247	23.6678	53.6903	65.5526	5508.53	7038.54	5318.71	2156.37	5302.66	9743.99	9129.43	16099.5	15108.3	35.2741	23.9287	26.9337	81.8387	43.679	32.4855	128.466	105.406	459.133	59.8378
CD27	388.82	4138.59	7350.59	5506.31	4042.38	4188.18	1125.96	5710.98	6979.73	2288.25	196.471	127.332	136.409	90.855	137.44	136.436	125.158	111.987	123.912	89.4706	468.498	300.105
CD28	170.654	183.928	145.758	527.403	463	961.774	2294.87	1326.71	1614.2	524.154	77.9604	71.7838	79.149	62.2272	64.4808	207.261	87.3718	66.0363	62.4258	75.1664	89.1808	177.541
CD300A	30.6985	77.9452	103.707	738.031	193.296	414.372	54.4059	46.8193	84.0997	2268.61	5340.89	4668.36	2187.81	691.304	211.105	1737.24	59.4876	26.1949	777.728	1075.46	2406.93	4130.86
CD33	25.3747	16.7175	29.4817	21.3364	17.8372	11.6914	10.4919	16.0074	55.4516	146.462	13.3285	14.2041	1494.4	388.038	241.845	562.116	731.696	15.4784	811.352	870.836	36.39	36.7419
CD37	13247.6	11610.3	802.225	4472.43	2997.96	4287.54	865.416	3602.32	4831.81	1823.24	2090.5	1604.57	4508.11	1453.5	340.017	2337.8	408.062	99.3107	783.709	1104.72	1908.23	3204.57
CD38	588.265	659.948	12117.9	318.883	296.299	205.305	492.628	1145.36	696.507	224.011	1418.27	867.219	237.702	90.8542	12009.4	642.61	65.7776	3371.63	814.674	1366.95	298.705	400.489
CD3D	103.225	174.403	88.3768	14396.9	14916.8	12009.4	7456.75	18921.5	12721.1	11894.3	250.87	243.853	79.1821	74.3095	26.0138	12.2205	106.197	132.551	40.7767	13.2097	795.028	250.997
CD3E	1233.17	756.799	1163.25	5787.18	3554.44	6370.19	2850.8	2993.59	5302.45	1748.88	461.715	342.123	225.281	188.382	172.535	175.318	195.449	276.207	144.399	129.594	425.865	809.11
CD3G	55.9812	87.6081	31.3621	3348.56	2859.41	3066.25	1149.98	2416.24	1298.02	1121.52	252.916	117.44	31.9746	31.4719	22.584	15.4917	29.8358	38.2154	19.6307	17.9017	114.99	160.091
CD4	138.457	118.351	351.016	164.951	2495.27	3710.38	1725.41	4363.02	5524.68	399.538	81.0757	75.9696	3343.91	552.305	1574.34	10105.3	1340.75	701.099	213.866	287.784	163.639	364.557
CD40	1493.35	1328.27	838.389	203.057	119.805	168.957	169.313	129.512	338.66	269.401	164.162	204.806	298.573	1146.59	12966.6	643.639	1598.41	4943.3	111.701	416.06	204.056	275.593
CD40LG	65.3723	51.8326	34.6589	186.485	464.179	852.172	660.742	809.45	31.0481	449.769	29.3032	52.2568	24.7521	29.8606	26.3906	32.0662	20.1645	16.8904	15.7317	21.4343	36.4269	51.2982
CD5	482.771	212.201	459.325	947.657	1101.08	1734.37	918.969	1464.69	3513.78	508.25	283.262	201.67	312.929	259.243	285.092	188.259	270.573	259.619	182.075	219.527	296.94	223.735
CD6	75.8565	91.3498	295.072	1720.14	738.232	3148.85	2732	1835.58	2092.36	342.398	623.803	348.424	90.97	94.7179	137.132	88.9339	96.8091	90.2006	41.957	41.7163	329.727	155.634
CD68	3.28612	8.41213	9.18295	51.1085	21.159	15.7695	30.9082	26.9707	23.836	97.225	93.8337	13.9229	806.305	1705.46	748.596	2770.91	1137.83	687.763	172.447	226.111	45.5969	36.2016
CD69	8246.96	5037.06	131.151	3798.41	4397.04	5489.2	1071.89	6081.16	539.394	4572.32	1781.27	5471.7	66.1029	31.6512	59.0214	28.8125	39.3124	69.457	440.398	1484.63	6363.15	436.422
CD7	15.629	17.2801	18.0226	2234.71	2032.4	1507.77	1271.83	2132.54	7917.98	415.833	1666.68	2106.84	20.4837	16.0113	13.3681	80.6177	27.0726	22.0086	12.1735	20.0477	48.5721	25.1924
CD70	294.657	647.923	528.126	247.621	116.553	266.296	388.275	214.236	1999.95	301.429	226.645	186.472	189.664	162.091	365.349	116.836	163.518	705.601	205.989	115.089	280.442	309.341
CD72	1434	194.059	8.35941	18.8127	43.0453	8.19555	15.7294	10.2308	37.6469	11.484	67.3445	21.0349	9.09632	9.47629	9.58807	123.952	24.2713	8.0589	6.66566	15.5521	13.3774	9.27224
CD79A	12117.9	9835.92	3860.54	425.446	183.377	161.603	97.8461	437.054	424.122	196.767	149.495	139.203	174.975	124.566	108.817	63.5795	138.914	189.64	61.9158	118.776	511.415	261.96
CD79B	5975.19	4719.84	900.57	229.235	284.13	341.386	192.018	425.107	863.467	277.815	364.26	254.476	158.799	68.0462	64.0791	79.3242	61.5971	72.1496	38.4973	61.7153	209.739	232.556
CD80	131.258	345.171	367.149	73.5286	102.086	92.3923	195.417	109.708	392.746	196.598	163.192	139.257	148.429	350.483	3650.81	160.481	596.432	4526.24	120.79	177.186	109.741	132.64
CD86	354.743	599.861	309.418	108.892	35.1452	95.4769	90.3011	29.5846	176.417	341.354	110.138	87.7704	1398.4	764.481	1444.5	2791.66	1729.21	4490.95	161.766	203.619	107.883	161.505
CD8A	564.478	348.109	44.2129	9990.74	41.0751	147.171	161.182	172.473	80.7031	1127.95	959.595	1190.4	203.576	135.985	45.8934	63.4761	176.667	163.445	87.0865	102.835	176.346	623.23
CD8B	21.5309	18.5593	22.1913	3697.96	143.577	16.5464	12.4615	118.455	12.4355	108.7	20.093	16.6832	14.4944	14.7839	9.30666	9.9734	14.2016	13.4979	9.97378	10.9502	33.0054	31.4333
CD96	140.07	182.422	83.8778	1718.97	1432.95	1571.92	253.739	473.005	2933.32	3005.01	1629.78	2127.77	35.6977	37.2327	64.3025	32.9481	50.2615	56.7865	103.367	42.5855	433.031	90.8438
CDA	7.45347	8.28214	18.8379	10.0651	9.68188	14.7321	10.1595	10.55	11.5784	167.178	98.1396	8.14755	1040.42	346.996	8.8175	28.8125	343.409	36.0373	88.0511	82.117	346.483	3592.43
CDC25A	14.4442	13.221	18.4991	9.9042	13.4532	9.04005	226.962	31.4258	29.6178	25.2757	13.2665	142.292	14.7486	18.9717	22.0447	14.7432	14.7959	12.7721	27.8389	74.2423	14.8737	17.781
CDH12	10.6258	18.1476	6.99477	7.9074	7.28569	8.5929	20.5447	9.72924	130.561	197.454	27.0789	9.72924	9.44042	12.7075	12.5197	9.08561	33.1686	23.2057	84.7403	38.3495	62.3285	24.7326
CDHR1	15.7033	21.3572	8.22026	32.7	86.8421	12.7306	27.5004	22.1418	7.93402	130.618	237.1	29.5032	10.5028	9.74633	9.29499	23.8492	6.7857	8.71062	19.2194	11.0622	8.51005	27.5952
CDK6	30.6985	23.0487	15.9445	65.1412	25.7801	99.9869	45.3511	24.2151	69.54	24.4571	27.0588	289.585	21.0665	23.4992	16.7111	12.8258	75.8518	67.4109	47.968	14.1075	64.3897	19.4099
CEACAM3	68.4614	61.8012	104.892	69.0898	59.6401	55.4475	46.6987	65.1206	133.397	120.635	189.913	109.576	242.102	156.081	123.615	113.835	147.504	210.18	186.294	166.523	132.058	2096.53
CEACAM8	77.9172	86.8866	22.7438	143.825	7.28569	73.7311	35.2885	4.76755	39.3564	15.7758	956.068	162.105	6.65065	5.09394	14.1067	11.6576	14.1886	19.0502	2385.03	1835.21	235.265	149.867
CEMP1	28.853	26.0568	5.7835	9.51802	44.8772	8.24507	8.75053	66.9257	210.082	135.659	24.7915	47.3788	12.4177	13.4348	19.1053	44.6457	6.04533	7.79269	11.2227	40.3149	54.4887	30.2943
CFP	4.57372	4.64646	5.38274	14.3869	371.832	50.4613	5.7835	13.9469	47.2587	471.13	33.9944	6.98274	3702.5	27.131	219.191	1971.11	7.54856	451.25	47.8291	214.906	14.5848	2060.18
CHI3L1	9.04005	10.1119	10.0823	13.1606	12.3753	7.28569	12.9436	9.94979	19.889	16.325	344.722	59.6762	12.168	8959.87	3395.66	2050.82	89.8807	473.915	477.055	636.792	89.3301	3791.33
CHI3L2	574.733	445.128	320.506	362.878	662.906	312.188	166.181	4770.06	515.347	404.137	322.039	170.22	200.993	181.814	1765.55	175.384	184.109	210.57	148.964	171.13	317.473	356.909
CHST15	375.062	380.454	2248.88	37.3683	56.315	41.686	34.126	41.6598	82.8415	339.126	43.2967	21.6383	3334.89	1452.25	103.487	1051.69	317.754	99.791	1121.27	895.205	1106.19	4602.16
CHST7	15.2999	17.075	105.354	26.2891	70.2009	367.405	234.005	401.838	78.7506	56.0343	29.8252	23.0381	291.064	314.646	350.888	421.235	193.249	3085.84	152.218	368.051	27.2414	793.148
CLC	317.013	263.81	158.273	91.3851	21.5466	110.252	184.583	91.9805	38.5241	337.915	509.916	237.928	86.566	69.2712	226.713	172.409	98.813	102.234	3917.55	3098.63	26617.2	4605.25
CLCA3P	17.2065	25.2623	11.9499	10.2845	11.3209	2.3079	0.972465	4.36618	10.4516	25.6782	4.29075	1.76176	2.69119	2.02256	0.251594	9.0294	2.31194	0.758568	5.98571	5.42051	18.8857	6.90793
CLEC10A	110.252	95.4872	67.3907	80.0543	56.9721	77.3096	36.9253	66.4662	123.353	154.086	56.0864	61.7027	481.426	159.597	69.3966	5770.13	5129.99	145.475	107.215	150.298	35.2336	145.629
CLEC2D	1012.82	595.045	134.55	1510.85	1443.46	1711.87	1875.95	1689.6	2808.69	332.236	979.224	344.41	93.1345	78.6404	1465.74	187.987	66.4906	2002.18	45.5163	41.11	92.5912	68.7778
CLEC4A	270.684	105.217	19.4836	43.6717	94.8743	19.9956	35.567	67.3907	75.5471	326.223	66.2022	39.068	2802.25	1137.94	51.6787	6742.94	4209.63	558.993	321.217	548.583	234.915	2814.38
CLEC7A	148.856	142.006	58.6425	86.0424	106.67	89.984	50.5246	936.379	94.165	628.337	143.149	89.373	6165.95	3760.31	283.204	3071.45	5359.77	1178.5	634.45	1330.09	159.527	5247.49
CLIC2	8.19555	7.67147	116.244	6.33983	11.0676	4.79963	7.65618	5.41222	6.36193	14.6318	24.6888	30.3854	103.559	437.046	1393.38	2233.16	2244.05	5239.88	8.02945	36.7918	8.44604	10.4187
CMA1	77.9564	68.1061	75.6389	25.2295	42.0952	46.6365	76.3162	29.7531	40.0863	77.404	57.3326	53.0206	58.7683	46.373	65.7628	64.1151	44.7774	53.1224	1378.88	1622.2	164.681	48.2554
COL8A2	135.223	73.451	23.4877	60.5349	79.4302	61.7722	55.3442	62.1844	122.182	76.5983	88.0255	68.4614	275.875	1233.72	33.8435	151.562	129.264	109.199	70.0767	59.7333	89.9999	186.421
COLQ	28.853	27.3981	23.5528	152.774	66.8503	135.326	36.1872	48.3346	163.753	410.259	406.567	351.016	33.8318	24.8409	86.1812	128.156	31.5992	20.1868	51.6734	36.8921	27.5052	40.4642
CPA3	786.597	653.57	431.887	147.696	25.2027	243.299	226.713	148.183	145.527	271.507	458.136	308.127	135.147	139.387	247.683	206.909	132.499	149.42	28290.3	22329	1091.42	522.599
CR2	1471.27	559.635	139.914	245.27	285.697	67.2474	17.8884	25.4993	25.4616	22.2624	25.2701	64.4063	35.1558	27.2512	55.6769	39.4827	16.2818	51.3593	16.7108	16.3265	122.08	33.0622
CREB5	30.9743	24.5582	32.0205	12.4101	43.3955	7.37046	10.978	9.55536	9.36872	15.6929	13.0389	14.4167	360.911	22.8641	11.7627	59.2177	227.549	257.452	23.961	23.3383	15.158	1385.32
CRISP3	27.3782	16.5477	6.50815	3.2355	4.20353	7.58219	10.2072	5.21016	647.79	34.4493	164.026	41.7384	5.03201	11.2986	10.6633	5.55616	5.95039	5.35504	140.207	33.5078	75.7878	15.937
CRTAM	54.8891	66.107	54.0563	1443.48	308.561	114.059	661.277	42.1529	47.769	829.669	261.162	652.858	212.042	761.032	38.2227	85.709	128.64	153.961	15.5496	106.159	78.3306	83.9649
CRYBB1	8.51088	9.16028	16.7748	8.78945	20.228	10.6391	8.2771	10.1849	10.5526	7.6187	9.40236	7.97278	9.39615	9.7069	12.1272	166.955	9.01675	8.79601	38.3769	16.7892	9.49799	9.87617
CSF1	22.1079	21.8152	14.6264	22.9942	21.9402	32.271	235.559	24.1776	159.73	39.1235	21.7205	24.4852	24.5689	687.884	35.2885	23.1222	112.582	93.5346	28.2172	61.8445	73.5934	22.5275
CSF2	24.2487	18.2441	43.3658	24.4197	40.9524	25.8714	1283.45	22.7588	16.2622	62.2696	47.2781	741.315	27.0946	28.5299	18.8245	16.2936	34.0642	38.0303	29.7372	1722.89	20.9643	19.5961
CSF3R	99.7663	29.6136	22.7278	24.3859	107.072	36.1651	25.6594	38.9319	85.4434	338.842	115.644	45.2333	2331.95	214.343	860.337	737.86	92.4843	67.2519	186.095	212.256	248.397	9175.36
CST7	29.7117	21.3348	14.0215	5181.6	197.855	1470.06	746.27	322.062	1323.23	12102.6	11514.7	10179.8	63.6732	254.88	186.806	292.562	1490.44	4059.44	2285.36	2487.6	616.21	2347.73
CTLA4	19.3916	12.0548	12.4	19.0927	282.31	606.104	1865.8	2019.94	4077.45	22.9841	11.0147	18.7122	18.6198	14.3167	8.58076	18.0367	16.4825	12.4936	18.0804	14.8006	62.0224	38.6936
CTSG	247.771	204.703	205.376	113.398	134.496	81.239	73.6946	38.0918	224.974	156.87	309.079	105.314	88.1262	65.3185	88.6601	141.066	69.9828	42.0002	5638.07	5475.91	137.176	185.008
CTSW	16.6579	14.1051	16.3181	4894.22	487.068	963.277	23.0875	14.6382	12.8332	4144	6980.78	10811.4	16.9373	15.9499	13.082	26.7636	16.2395	15.8711	119.469	272.466	41.7898	20.4914
CXCL10	761.394	395.638	246.244	157.227	120.499	152.976	529.512	127.922	256.618	488.545	201.111	1510.91	500.93	163.198	31273.7	278.343	163.718	11302.4	112.809	313.919	332.722	486.967
CXCL11	90.2623	71.7948	44.7905	22.7712	6.63364	14.3306	52.0054	23.4877	42.5131	42.3473	28.5386	183.308	38.4187	16.9051	9059.84	29.3594	21.1203	3956.5	27.8478	33.7736	33.8666	74.2206
CXCL13	50.1801	22.7708	17.2471	22.3574	6.02497	8.95714	280.53	9578.94	13.5043	7.57726	10.0264	16.1251	10.3178	11.7535	627.931	16.7608	12.7141	20.9315	25.7094	10.9456	11.1093	29.7905
CXCL3	73.0704	28.3066	56.4475	26.7117	17.0206	30.0279	26.8418	27.6975	136.624	45.9066	17.3844	30.2181	175.883	1496.82	271.247	233.33	81.0368	157.022	149.961	7936.43	44.0016	75.7692
CXCL5	94.1649	83.049	43.3658	18.4202	7.7599	41.216	24.9405	18.9365	73.8583	78.8889	25.0801	29.0739	32.9347	5315.27	91.9805	46.3814	37.3928	387.404	49.5741	621.747	29.2575	69.6139
CXCL9	597.584	438.209	268.399	125.836	77.4588	151.504	259.461	143.577	159.218	220.911	186.924	590.362	265.083	168.497	38944	199.436	179.981	2918.82	123.556	99.7602	193.921	403.054
CXCR1	260.578	187.059	146.678	214.684	320.96	253.821	76.3549	71.4853	216.89	691.731	515.916	417.187	82.7814	72.0059	61.2698	53.221	65.5299	64.1227	263.789	267.968	239.476	5613.08
CXCR2	26.7636	12.646	20.851	73.6177	5.10767	20.8819	7.64466	11.1583	62.5807	341.363	963.17	280.002	408.353	115.551	174.121	64.0791	176.836	48.427	126.094	56.9347	442.759	17610.4
CXCR5	368.781	298.694	10.1479	32.708	29.7922	181.825	207.127	2508.08	32.4852	31.9392	16.0338	15.131	14.6125	17.3637	212.275	14.4311	17.5363	26.9092	13.7321	18.885	55.8564	19.2923
CXCR6	143.967	137.922	129.418	239.578	92.277	190.125	1140.29	187.523	914.309	1037.8	175.285	139.151	89.8838	60.5045	68.5602	56.0849	61.5491	93.7643	58.1691	53.1451	86.7334	166.601
CXorf57	39.2654	19.4445	10.6258	102.172	236.764	111.244	152.511	14.2424	12.4989	284.272	54.6113	77.3874	8.0249	11.2973	6.69447	10.4459	7.42938	5.41991	7.40007	6.59899	73.8682	12.1591
CYP27A1	28.1703	29.9301	40.8098	35.1156	57.0808	18.9211	20.989	60.3011	55.8977	88.197	36.9152	30.4051	761.596	9212.24	72.621	75.7109	807.582	1970.12	731.426	853	71.578	52.9684
CYP27B1	839.569	393.123	544.742	123.385	89.2151	112.605	253.101	62.7152	451.157	198.916	95.8119	117.912	96.6531	1182.19	6662.56	145.701	203.447	2253.08	88.7389	231.54	179.38	291.092
DACH1	8.11027	6.61425	7.01931	6.07293	26.6485	6.33289	3.99099	4.92986	16.7488	14.2475	34.4165	18.5566	63.0408	7.18212	4.27362	8.23249	5.41845	6.02427	30.5528	11.696	232.945	80.6245
DAPK2	50.4923	52.6611	24.6313	36.7782	35.9388	53.0877	21.0663	20.1996	71.8305	55.8114	75.1908	65.9825	50.3688	36.2955	35.1452	76.6587	50.6543	57.825	260.259	126.567	1104.77	494.764
DCSTAMP	38.6954	19.4623	134.084	45.9545	33.8435	19.2919	61.8737	68.5252	60.4971	77.6658	39.2334	85.3184	100.396	3167.9	171.556	278.806	919.95	632.476	126.015	250.471	145.247	90.6566
DEFA4	364.831	262.809	213.241	580.408	61.9081	252.193	165.641	89.9001	42.8062	290.232	3153.5	224.784	108.49	59.8116	76.1196	88.3768	79.5342	104.171	246.913	174.087	885.317	453.705
DENND5B	47.9633	82.4974	338.595	4.937	5.35474	6.17151	8.63943	2.14073	35.5009	5.92817	28.7555	4.92986	5.01965	14.5868	7.80832	36.7156	12.8774	28.4484	6.11105	12.8888	9.43945	11.0694
DEPDC5	23.0037	33.4468	30.008	42.1083	192.018	41.8509	38.5346	136.495	91.6855	53.645	74.5348	143.26	40.1779	96.6174	168.283	190.192	106.052	38.1782	110.334	32.0167	572.546	27.3392
DGKA	426.968	460.01	200.624	2223.02	3066.25	2690.02	845.849	3860.54	2953.65	550.271	393.43	301.114	300.955	170.086	169.025	215.901	198.329	236.27	148.514	129.29	429.599	314.18
DHRS11	53.99	69.5507	70.1676	88.6181	123.952	27.7175	149.367	72.385	59.3323	34.7728	61.6241	85.5534	46.9596	266.501	18.6003	242.691	1090.34	299.29	69.867	69.5967	27.3827	54.3303
DHX58	13.8636	16.8836	12.8385	67.9751	298.29	30.9959	14.4807	86.5691	85.1508	19.0155	126.714	29.6454	66.4278	21.9598	1394.31	233.583	34.015	1538.1	27.3948	21.8549	18.0591	20.0978
DPEP2	695.457	459.371	11.1807	469.025	1220.28	631.28	9.0294	327.608	341.722	496.446	636.07	22.1565	1471.48	116.274	16.2164	2410.19	502.911	37.7032	158.064	131.444	4131.56	4347.72
DPP4	19.4517	16.5672	15.7817	686.987	689.95	1042.23	892.315	22.5311	866.597	383.706	43.073	391.964	19.6551	17.527	175.698	32.8097	11.7965	138.212	68.7733	25.7694	18.5717	19.5766
DSC1	82.2625	48.0259	44.7905	408.664	788.019	15.6035	10.2183	7.63183	23.3328	82.601	21.2193	23.8159	18.8501	14.9389	11.6692	6.70774	45.603	14.7079	34.5126	35.7068	71.0654	42.1332
